CustomerID,Recency,Frequency,Monetary,Cluster
CUST1069,26,5,602.91,1
CUST1070,42,1,58.4,3
CUST1071,2,10,1349.1799999999998,0
CUST1072,8,6,751.25,0
CUST1073,10,4,1216.71,1
CUST1074,27,2,587.01,1
CUST1075,20,6,512.1,1
CUST1076,16,7,477.91,1
CUST1077,18,4,1023.4100000000001,1
CUST1078,9,5,1235.49,0
CUST1079,17,6,454.7,1
CUST1080,1,3,759.72,2
CUST1081,3,6,778.64,0
CUST1082,11,2,336.65000000000003,1
CUST1083,3,9,951.86,0
CUST1084,34,3,397.9,1
CUST1085,6,4,685.3499999999999,2
CUST1086,5,3,463.33000000000004,2
CUST1087,1,6,854.1999999999999,0
CUST1088,9,9,1348.04,0
CUST1089,12,4,623.4300000000001,1
CUST1090,51,2,475.74,1
CUST1091,5,4,382.33,2
CUST1092,6,8,1028.6299999999999,0
CUST1093,1,3,555.96,2
CUST1094,12,2,144.87,3
CUST1095,8,5,234.1,2
CUST1096,6,5,547.38,2
CUST1097,30,7,1381.71,1
CUST1098,8,4,640.76,2
CUST1099,7,5,654.3100000000001,2
CUST1100,58,2,132.93,3
CUST1101,22,7,1161.13,0
CUST1102,6,5,354.56,2
CUST1103,63,2,345.84000000000003,1
CUST1104,9,5,1086.25,0
CUST1105,16,5,1081.43,1
CUST1106,3,5,396.7,2
CUST1107,5,8,2195.2799999999997,0
CUST1108,42,4,650.15,1
CUST1109,9,3,448.87,2
CUST1110,2,4,374.54999999999995,2
CUST1112,24,2,160.55,3
CUST1113,3,4,641.22,2
CUST1114,9,3,102.09,3
CUST1115,24,4,1100.53,1
CUST1116,12,7,1124.8600000000001,0
CUST1117,3,7,1466.43,0
CUST1118,4,9,1676.87,0
CUST1119,4,7,908.72,0
CUST1120,8,6,861.05,0
CUST1121,2,5,774.81,2
CUST1122,13,8,1785.8799999999999,0
CUST1123,23,5,1372.4499999999998,1
CUST1124,2,9,1130.02,0
CUST1125,7,6,1205.11,0
CUST1126,59,3,553.3299999999999,1
CUST1127,31,1,73.52,3
CUST1128,8,3,555.38,2
CUST1129,8,6,419.22,2
CUST1130,1,7,1262.8400000000001,0
CUST1131,28,3,411.36999999999995,1
CUST1132,15,5,1868.72,0
CUST1133,24,4,601.94,1
CUST1134,54,2,433.93,1
CUST1135,4,5,1639.14,0
CUST1136,18,3,385.85,1
CUST1137,30,3,477.46999999999997,1
CUST1138,5,4,381.43,2
CUST1139,13,1,32.12,3
CUST1140,6,8,911.01,0
CUST1141,2,3,308.15,2
CUST1142,1,8,1085.43,0
CUST1143,35,3,633.14,1
CUST1144,2,8,694.06,0
CUST1145,2,7,803.1,0
CUST1146,19,6,1958.56,0
CUST1147,5,6,695.8599999999999,0
CUST1148,4,4,1091.16,2
CUST1149,6,6,866.12,0
CUST1150,6,5,611.84,2
CUST1151,7,4,840.5000000000001,2
CUST1152,8,8,691.5400000000001,0
CUST1153,12,5,846.3,1
CUST1154,73,2,525.29,1
CUST1155,13,5,408.46000000000004,1
CUST1156,13,3,444.49,1
CUST1157,10,9,1467.72,0
CUST1158,23,5,1179.38,1
CUST1159,1,9,1109.16,0
CUST1160,3,7,563.6600000000001,0
CUST1161,2,2,401.64,2
CUST1162,3,5,407.12,2
CUST1163,1,7,1586.96,0
CUST1164,7,2,294.51,2
CUST1165,2,6,1186.97,0
CUST1166,8,4,445.19,2
CUST1167,12,4,794.24,1
CUST1168,11,6,1582.46,0
CUST1169,1,8,982.69,0
CUST1170,10,6,762.8499999999999,0
CUST1171,1,8,1609.41,0
CUST1172,7,3,336.98,2
CUST1173,2,5,695.72,2
CUST1174,2,5,537.8,2
CUST1175,1,8,1798.05,0
CUST1176,17,4,386.69,1
CUST1177,12,4,1200.66,1
CUST1178,4,4,303.8,2
CUST1179,24,1,22.05,3
CUST1180,2,5,530.39,2
CUST1181,4,1,167.96,3
CUST1182,6,3,620.11,2
CUST1183,6,7,710.3199999999999,0
CUST1184,11,4,875.65,1
CUST1185,1,4,397.93,2
CUST1186,3,4,704.6800000000001,2
CUST1187,2,8,1613.26,0
CUST1188,15,5,455.57,1
CUST1189,5,4,345.59000000000003,2
CUST1190,55,3,595.6800000000001,1
CUST1191,3,5,858.22,2
CUST1192,5,4,807.13,2
CUST1193,18,6,546.01,1
CUST1194,39,4,1308.23,1
CUST1195,1,6,686.5600000000001,2
CUST1196,66,3,444.59999999999997,1
CUST1197,2,8,1533.98,0
CUST1198,20,8,1137.56,0
CUST1199,2,3,243.78,2
