InvoiceNo,CustomerID,InvoiceDate,Quantity,UnitPrice,TotalAmount
INV10053,CUST1036,2026-05-06 14:35:34.874068,4,76.77,307.08
INV10054,CUST1170,2026-07-26 14:35:34.874071,5,78.82,394.09999999999997
INV10055,CUST1167,2026-04-19 14:35:34.874073,3,36.71,110.13
INV10056,CUST1182,2026-09-13 14:35:34.874076,9,16.65,149.85
INV10057,CUST1107,2026-09-05 14:35:34.874079,1,227.1,227.1
INV10058,CUST1038,2026-09-16 14:35:34.874082,6,6.47,38.82
INV10059,CUST1014,2026-08-26 14:35:34.874085,6,19.12,114.72
INV10060,CUST1119,2026-08-20 14:35:34.874088,5,17.26,86.30000000000001
INV10061,CUST1003,2026-08-31 14:35:34.874092,5,6.75,33.75
INV10062,CUST1092,2026-06-05 14:35:34.874100,5,15.74,78.7
INV10063,CUST1152,2026-08-23 14:35:34.874107,6,3.43,20.580000000000002
INV10064,CUST1140,2026-08-30 14:35:34.874112,8,1.74,13.92
INV10065,CUST1160,2026-08-03 14:35:34.874123,2,15.89,31.78
INV10066,CUST1015,2026-09-09 14:35:34.874127,6,84.17,505.02
INV10067,CUST1169,2026-06-13 14:35:34.874129,1,129.62,129.62
INV10068,CUST1107,2026-09-14 14:35:34.874132,4,129.11,516.44
INV10069,CUST1125,2026-01-01 14:35:34.874135,3,31.66,94.98
INV10070,CUST1193,2026-06-22 14:35:34.874139,9,7.34,66.06
INV10071,CUST1054,2026-09-05 14:35:34.874141,3,38.61,115.83
INV10072,CUST1169,2026-09-18 14:35:34.874144,6,16.14,96.84
INV10073,CUST1033,2026-06-09 14:35:34.874150,1,26.75,26.75
INV10074,CUST1157,2026-07-07 14:35:34.874154,6,27.27,163.62
INV10075,CUST1012,2026-07-02 14:35:34.874157,4,11.63,46.52
INV10076,CUST1140,2026-06-22 14:35:34.874178,8,19.37,154.96
INV10077,CUST1017,2026-09-14 14:35:34.874191,9,18.62,167.58
INV10078,CUST1159,2026-08-23 14:35:34.874194,4,8.68,34.72
INV10079,CUST1095,2026-09-11 14:35:34.874198,6,3.25,19.5
INV10080,CUST1122,2026-05-22 14:35:34.874200,1,237.64,237.64
INV10081,CUST1038,2026-07-22 14:35:34.874203,4,25.59,102.36
INV10082,CUST1045,2026-08-25 14:35:34.874206,7,2.71,18.97
INV10083,CUST1028,2026-09-15 14:35:34.874209,1,800.79,800.79
INV10084,CUST1189,2026-08-27 14:35:34.874212,8,2.37,18.96
INV10085,CUST1061,2026-08-26 14:35:34.874215,6,31.36,188.16
INV10086,CUST1184,2026-07-02 14:35:34.874218,5,125.46,627.3
INV10087,CUST1015,2026-07-20 14:35:34.874221,9,5.67,51.03
INV10088,CUST1183,2026-05-11 14:35:34.874225,2,16.51,33.02
INV10089,CUST1120,2026-08-11 14:35:34.874227,5,5.88,29.4
INV10090,CUST1009,2026-09-11 14:35:34.874230,6,10.7,64.19999999999999
INV10091,CUST1157,2026-07-06 14:35:34.874233,7,3.71,25.97
INV10092,CUST1152,2026-06-25 14:35:34.874236,5,37.35,186.75
INV10093,CUST1102,2026-07-31 14:35:34.874240,9,2.18,19.62
INV10094,CUST1083,2026-06-22 14:35:34.874243,1,116.83,116.83
INV10095,CUST1132,2026-08-09 14:35:34.874246,7,123.85,866.9499999999999
INV10096,CUST1064,2026-08-05 14:35:34.874249,7,37.47,262.28999999999996
INV10097,CUST1176,2026-08-16 14:35:34.874251,4,38.32,153.28
INV10098,CUST1002,2026-09-17 14:35:34.874255,9,7.21,64.89
INV10099,CUST1172,2026-09-12 14:35:34.874257,5,31.34,156.7
INV10100,CUST1141,2026-09-17 14:35:34.874260,4,30.58,122.32
INV10101,CUST1119,2026-07-20 14:35:34.874264,7,13.33,93.31
INV10102,CUST1157,2026-08-27 14:35:34.874266,4,7.75,31.0
INV10103,CUST1067,2026-08-07 14:35:34.874269,3,112.18,336.54
INV10104,CUST1145,2026-04-29 14:35:34.874272,9,11.07,99.63
INV10105,CUST1189,2026-09-01 14:35:34.874281,8,5.31,42.48
INV10106,CUST1036,2026-08-18 14:35:34.874284,1,78.77,78.77
INV10107,CUST1152,2026-06-26 14:35:34.874287,7,12.89,90.23
INV10108,CUST1175,2026-09-03 14:35:34.874290,9,30.4,273.59999999999997
INV10109,CUST1192,2026-09-14 14:35:34.874294,8,26.05,208.4
INV10110,CUST1180,2026-08-29 14:35:34.874297,8,28.75,230.0
INV10111,CUST1072,2026-09-08 14:35:34.874299,6,1.94,11.64
INV10112,CUST1142,2026-04-12 14:35:34.874303,4,22.68,90.72
INV10113,CUST1048,2026-06-11 14:35:34.874306,8,13.56,108.48
INV10114,CUST1120,2026-07-20 14:35:34.874308,3,4.3,12.899999999999999
INV10115,CUST1087,2026-05-18 14:35:34.874311,9,6.13,55.17
INV10116,CUST1195,2026-06-13 14:35:34.874314,2,112.12,224.24
INV10117,CUST1139,2026-09-06 14:35:34.874317,2,16.06,32.12
INV10118,CUST1186,2026-05-08 14:35:34.874320,7,17.85,124.95000000000002
INV10119,CUST1036,2026-08-03 14:35:34.874322,4,11.59,46.36
INV10120,CUST1060,2026-06-12 14:35:34.874325,8,1.48,11.84
INV10121,CUST1170,2026-05-06 14:35:34.874327,9,5.71,51.39
INV10122,CUST1123,2026-08-27 14:35:34.874329,7,81.24,568.68
INV10123,CUST1197,2026-09-12 14:35:34.874331,5,50.51,252.54999999999998
INV10124,CUST1038,2026-09-03 14:35:34.874332,8,61.41,491.28
INV10125,CUST1183,2026-08-16 14:35:34.874334,4,27.59,110.36
INV10126,CUST1062,2026-06-08 14:35:34.874336,2,13.72,27.44
INV10127,CUST1045,2026-05-23 14:35:34.874338,6,21.52,129.12
INV10128,CUST1087,2026-09-18 14:35:34.874339,9,11.21,100.89000000000001
INV10129,CUST1010,2026-08-07 14:35:34.874342,1,289.03,289.03
INV10130,CUST1061,2026-08-17 14:35:34.874344,7,3.64,25.48
INV10131,CUST1076,2026-09-03 14:35:34.874346,9,12.28,110.52
INV10132,CUST1152,2026-09-11 14:35:34.874347,9,3.82,34.379999999999995
INV10133,CUST1198,2026-08-25 14:35:34.874349,3,22.96,68.88
INV10134,CUST1051,2026-03-31 14:35:34.874351,5,42.11,210.55
INV10135,CUST1003,2026-08-26 14:35:34.874352,8,13.37,106.96
INV10136,CUST1058,2026-08-06 14:35:34.874354,8,10.09,80.72
INV10137,CUST1071,2026-07-08 14:35:34.874356,4,21.31,85.24
INV10138,CUST1147,2026-08-22 14:35:34.874358,1,102.27,102.27
INV10139,CUST1092,2026-02-16 14:35:34.874359,1,240.58,240.58
INV10140,CUST1062,2026-03-06 14:35:34.874361,4,85.99,343.96
INV10141,CUST1053,2026-09-01 14:35:34.874363,6,79.38,476.28
INV10142,CUST1116,2026-08-08 14:35:34.874364,8,30.24,241.92
INV10143,CUST1109,2026-08-28 14:35:34.874366,6,11.14,66.84
INV10144,CUST1073,2026-08-29 14:35:34.874368,9,20.53,184.77
INV10145,CUST1106,2026-09-16 14:35:34.874370,9,10.7,96.3
INV10146,CUST1056,2026-07-24 14:35:34.874371,2,27.04,54.08
INV10147,CUST1168,2026-08-08 14:35:34.874373,1,285.71,285.71
INV10148,CUST1002,2026-09-15 14:35:34.874375,2,7.94,15.88
INV10149,CUST1119,2026-08-30 14:35:34.874377,5,71.61,358.05
INV10150,CUST1005,2026-04-28 14:35:34.874383,4,25.71,102.84
INV10151,CUST1004,2026-09-02 14:35:34.874385,4,40.52,162.08
INV10152,CUST1004,2026-09-09 14:35:34.874387,9,19.06,171.54
INV10153,CUST1053,2026-08-09 14:35:34.874389,8,43.53,348.24
INV10154,CUST1046,2026-01-07 14:35:34.874391,6,26.98,161.88
INV10155,CUST1176,2026-09-02 14:35:34.874392,1,152.76,152.76
INV10156,CUST1008,2026-07-14 14:35:34.874394,2,10.17,20.34
INV10157,CUST1098,2026-06-24 14:35:34.874396,6,19.93,119.58
INV10158,CUST1019,2026-09-02 14:35:34.874398,2,17.2,34.4
INV10159,CUST1121,2026-07-02 14:35:34.874399,5,42.12,210.6
INV10160,CUST1060,2026-08-22 14:35:34.874401,5,23.54,117.69999999999999
INV10161,CUST1122,2026-07-20 14:35:34.874403,6,30.17,181.02
INV10162,CUST1162,2026-07-20 14:35:34.874405,6,2.73,16.38
INV10163,CUST1177,2026-08-03 14:35:34.874406,6,3.88,23.28
INV10164,CUST1081,2026-09-13 14:35:34.874408,2,99.49,198.98
INV10165,CUST1061,2026-06-02 14:35:34.874410,3,7.07,21.21
INV10166,CUST1144,2026-08-26 14:35:34.874411,6,3.51,21.06
INV10167,CUST1002,2026-09-06 14:35:34.874413,8,1.48,11.84
INV10168,CUST1159,2026-09-16 14:35:34.874415,1,480.25,480.25
INV10169,CUST1012,2026-07-27 14:35:34.874417,1,210.63,210.63
INV10170,CUST1119,2026-07-13 14:35:34.874419,2,37.68,75.36
INV10171,CUST1124,2026-09-17 14:35:34.874420,6,10.46,62.760000000000005
INV10172,CUST1088,2026-08-06 14:35:34.874422,9,8.28,74.52
INV10173,CUST1072,2026-09-03 14:35:34.874425,4,58.38,233.52
INV10174,CUST1067,2026-07-18 14:35:34.874426,3,57.48,172.44
INV10175,CUST1141,2026-09-07 14:35:34.874428,8,5.09,40.72
INV10176,CUST1100,2026-07-10 14:35:34.874430,9,4.3,38.699999999999996
INV10177,CUST1097,2026-08-20 14:35:34.874431,5,5.11,25.55
INV10178,CUST1010,2026-04-06 14:35:34.874433,9,19.11,171.99
INV10179,CUST1104,2026-09-10 14:35:34.874435,2,113.41,226.82
INV10180,CUST1183,2026-08-24 14:35:34.874436,3,18.73,56.19
INV10181,CUST1066,2026-09-11 14:35:34.874438,7,1.88,13.16
INV10182,CUST1122,2026-04-16 14:35:34.874440,7,3.27,22.89
INV10183,CUST1028,2026-05-16 14:35:34.874442,6,87.61,525.66
INV10184,CUST1136,2026-09-01 14:35:34.874443,6,10.42,62.519999999999996
INV10185,CUST1194,2026-07-16 14:35:34.874445,2,114.97,229.94
INV10186,CUST1152,2026-06-09 14:35:34.874447,6,26.16,156.96
INV10187,CUST1075,2026-08-01 14:35:34.874448,4,20.54,82.16
INV10188,CUST1169,2026-08-04 14:35:34.874450,3,14.85,44.55
INV10189,CUST1008,2026-09-02 14:35:34.874452,2,14.71,29.42
INV10190,CUST1039,2026-09-13 14:35:34.874454,1,153.18,153.18
INV10191,CUST1024,2026-05-05 14:35:34.874455,5,46.7,233.5
INV10192,CUST1004,2026-05-03 14:35:34.874457,2,82.44,164.88
INV10193,CUST1138,2026-07-20 14:35:34.874459,2,61.67,123.34
INV10194,CUST1186,2026-08-25 14:35:34.874461,7,2.35,16.45
INV10195,CUST1123,2026-08-24 14:35:34.874462,8,66.08,528.64
INV10196,CUST1037,2026-07-03 14:35:34.874464,8,31.31,250.48
INV10197,CUST1071,2026-05-05 14:35:34.874466,4,15.49,61.96
INV10198,CUST1132,2026-05-11 14:35:34.874468,1,596.58,596.58
INV10199,CUST1175,2026-06-20 14:35:34.874469,7,21.16,148.12
INV10200,CUST1089,2026-07-19 14:35:34.874471,1,140.99,140.99
INV10201,CUST1145,2026-09-13 14:35:34.874473,4,54.2,216.8
INV10202,CUST1197,2026-09-08 14:35:34.874475,8,32.56,260.48
INV10203,CUST1036,2026-05-04 14:35:34.874477,2,85.14,170.28
INV10204,CUST1059,2026-07-25 14:35:34.874478,6,5.09,30.54
INV10205,CUST1175,2026-09-18 14:35:34.874480,6,11.99,71.94
INV10206,CUST1027,2026-09-12 14:35:34.874482,9,44.98,404.82
INV10207,CUST1196,2026-07-15 14:35:34.874484,5,9.63,48.150000000000006
INV10208,CUST1080,2026-09-18 14:35:34.874485,4,19.96,79.84
INV10209,CUST1113,2026-09-08 14:35:34.874487,5,18.97,94.85
INV10210,CUST1039,2026-08-02 14:35:34.874489,5,19.36,96.8
INV10211,CUST1044,2026-07-10 14:35:34.874491,8,19.05,152.4
INV10212,CUST1061,2026-07-17 14:35:34.874494,8,54.99,439.92
INV10213,CUST1092,2026-09-03 14:35:34.874497,2,25.65,51.3
INV10214,CUST1114,2026-07-06 14:35:34.874500,7,4.2,29.400000000000002
INV10215,CUST1185,2026-09-02 14:35:34.874503,8,5.37,42.96
INV10216,CUST1066,2026-08-26 14:35:34.874506,6,56.16,336.96
INV10217,CUST1055,2026-06-28 14:35:34.874509,5,33.14,165.7
INV10218,CUST1039,2026-07-18 14:35:34.874512,9,6.72,60.48
INV10219,CUST1097,2026-05-28 14:35:34.874515,3,87.96,263.88
INV10220,CUST1039,2026-07-16 14:35:34.874518,4,76.6,306.4
INV10221,CUST1090,2026-07-30 14:35:34.874521,9,32.35,291.15000000000003
INV10222,CUST1032,2026-09-13 14:35:34.874524,6,64.48,386.88
INV10223,CUST1005,2026-08-22 14:35:34.874527,8,6.7,53.6
INV10224,CUST1146,2026-08-31 14:35:34.874530,7,31.57,220.99
INV10225,CUST1079,2026-09-02 14:35:34.874533,2,51.29,102.58
INV10226,CUST1167,2026-02-14 14:35:34.874536,3,95.59,286.77
INV10227,CUST1091,2026-08-20 14:35:34.874539,1,205.56,205.56
INV10228,CUST1096,2026-05-08 14:35:34.874542,9,26.08,234.71999999999997
INV10229,CUST1058,2026-07-21 14:35:34.874545,7,24.31,170.17
INV10230,CUST1058,2026-06-15 14:35:34.874548,1,39.3,39.3
INV10231,CUST1047,2026-08-08 14:35:34.874550,3,42.71,128.13
INV10232,CUST1168,2026-07-29 14:35:34.874553,4,159.17,636.68
INV10233,CUST1012,2026-08-09 14:35:34.874557,4,106.4,425.6
INV10234,CUST1106,2026-09-05 14:35:34.874560,5,3.32,16.599999999999998
INV10235,CUST1044,2026-07-04 14:35:34.874563,3,12.34,37.019999999999996
INV10236,CUST1088,2026-08-30 14:35:34.874570,3,10.4,31.200000000000003
INV10237,CUST1180,2026-09-17 14:35:34.874573,1,204.18,204.18
INV10238,CUST1169,2026-07-18 14:35:34.874576,7,37.91,265.37
INV10239,CUST1099,2026-09-07 14:35:34.874579,1,46.03,46.03
INV10240,CUST1190,2026-04-02 14:35:34.874582,2,57.87,115.74
INV10241,CUST1154,2026-03-18 14:35:34.874584,4,71.39,285.56
INV10242,CUST1165,2026-04-24 14:35:34.874588,4,51.99,207.96
INV10243,CUST1187,2026-08-22 14:35:34.874591,5,25.44,127.2
INV10244,CUST1006,2026-09-18 14:35:34.874594,2,71.93,143.86
INV10245,CUST1132,2026-04-13 14:35:34.874596,4,29.13,116.52
INV10246,CUST1044,2026-08-16 14:35:34.874599,1,62.98,62.98
INV10247,CUST1057,2026-02-26 14:35:34.874602,2,67.43,134.86
INV10248,CUST1030,2026-03-04 14:35:34.874606,1,185.14,185.14
INV10249,CUST1022,2026-05-26 14:35:34.874609,4,79.98,319.92
INV10250,CUST1169,2026-08-29 14:35:34.874612,4,40.43,161.72
INV10251,CUST1137,2026-08-20 14:35:34.874615,7,32.11,224.76999999999998
INV10252,CUST1159,2026-05-27 14:35:34.874618,9,4.02,36.17999999999999
INV10253,CUST1106,2026-08-27 14:35:34.874621,9,11.43,102.87
INV10254,CUST1180,2026-09-07 14:35:34.874624,5,2.28,11.399999999999999
INV10255,CUST1157,2026-08-01 14:35:34.874627,1,52.49,52.49
INV10256,CUST1038,2026-04-06 14:35:34.874630,1,204.45,204.45
INV10257,CUST1158,2026-07-09 14:35:34.874634,6,121.79,730.74
INV10258,CUST1081,2026-07-30 14:35:34.874637,2,12.83,25.66
INV10259,CUST1099,2026-09-12 14:35:34.874639,8,10.87,86.96
INV10260,CUST1001,2026-07-23 14:35:34.874642,9,27.94,251.46
INV10261,CUST1076,2025-12-16 14:35:34.874646,4,11.06,44.24
INV10262,CUST1011,2026-09-09 14:35:34.874650,5,26.3,131.5
INV10263,CUST1038,2026-08-06 14:35:34.874654,8,26.01,208.08
INV10264,CUST1193,2026-05-16 14:35:34.874657,3,51.19,153.57
INV10265,CUST1012,2026-06-29 14:35:34.874660,5,8.25,41.25
INV10266,CUST1045,2026-07-09 14:35:34.874663,3,25.29,75.87
INV10267,CUST1154,2026-07-08 14:35:34.874666,3,79.91,239.73
INV10268,CUST1112,2026-08-23 14:35:34.874669,3,43.73,131.19
INV10269,CUST1016,2026-08-29 14:35:34.874673,7,1.54,10.780000000000001
INV10270,CUST1103,2026-06-11 14:35:34.874677,7,32.1,224.70000000000002
INV10271,CUST1097,2026-06-11 14:35:34.874679,7,2.2,15.400000000000002
INV10272,CUST1187,2026-05-20 14:35:34.874683,8,26.93,215.44
INV10273,CUST1191,2026-04-25 14:35:34.874686,5,8.79,43.949999999999996
INV10274,CUST1087,2026-08-07 14:35:34.874688,5,97.16,485.79999999999995
INV10275,CUST1108,2026-08-08 14:35:34.874691,4,19.7,78.8
INV10276,CUST1162,2026-06-14 14:35:34.874694,7,9.91,69.37
INV10277,CUST1069,2026-07-18 14:35:34.874697,4,8.55,34.2
INV10278,CUST1157,2026-07-08 14:35:34.874700,2,32.35,64.7
INV10279,CUST1198,2026-06-15 14:35:34.874702,4,80.98,323.92
INV10280,CUST1073,2026-05-09 14:35:34.874706,8,106.41,851.28
INV10281,CUST1062,2026-08-25 14:35:34.874709,9,8.77,78.92999999999999
INV10282,CUST1155,2026-08-21 14:35:34.874712,3,33.1,99.30000000000001
INV10283,CUST1059,2026-09-13 14:35:34.874715,7,28.87,202.09
INV10284,CUST1078,2026-07-29 14:35:34.874718,9,37.33,335.96999999999997
INV10285,CUST1036,2026-09-16 14:35:34.874720,4,36.21,144.84
INV10286,CUST1021,2026-08-12 14:35:34.874722,3,28.17,84.51
INV10287,CUST1195,2026-08-03 14:35:34.874724,5,17.96,89.80000000000001
INV10288,CUST1147,2026-08-29 14:35:34.874726,1,188.42,188.42
INV10289,CUST1095,2026-07-27 14:35:34.874728,3,3.49,10.47
INV10290,CUST1067,2026-09-17 14:35:34.874730,8,19.37,154.96
INV10291,CUST1191,2026-09-16 14:35:34.874732,8,9.49,75.92
INV10292,CUST1016,2026-06-07 14:35:34.874733,4,61.78,247.12
INV10293,CUST1011,2026-08-23 14:35:34.874735,2,12.32,24.64
INV10294,CUST1149,2026-09-10 14:35:34.874737,8,17.89,143.12
INV10295,CUST1144,2026-08-05 14:35:34.874739,8,13.55,108.4
INV10296,CUST1137,2026-06-22 14:35:34.874740,4,41.05,164.2
INV10297,CUST1117,2026-09-04 14:35:34.874742,3,6.69,20.07
INV10298,CUST1192,2026-07-22 14:35:34.874744,2,70.06,140.12
INV10299,CUST1021,2026-09-13 14:35:34.874746,9,14.85,133.65
INV10300,CUST1119,2026-09-15 14:35:34.874747,1,133.37,133.37
INV10301,CUST1049,2026-08-04 14:35:34.874749,7,21.25,148.75
INV10302,CUST1013,2026-08-03 14:35:34.874751,5,35.85,179.25
INV10303,CUST1191,2026-07-20 14:35:34.874753,8,31.9,255.2
INV10304,CUST1174,2026-07-03 14:35:34.874754,4,14.29,57.16
INV10305,CUST1028,2026-02-07 14:35:34.874756,7,38.78,271.46000000000004
INV10306,CUST1163,2026-08-06 14:35:34.874758,5,22.69,113.45
INV10307,CUST1179,2026-08-26 14:35:34.874760,5,4.41,22.05
INV10308,CUST1124,2026-06-15 14:35:34.874762,9,2.12,19.080000000000002
INV10309,CUST1006,2026-08-31 14:35:34.874765,9,7.89,71.00999999999999
INV10310,CUST1028,2026-08-15 14:35:34.874767,9,26.72,240.48
INV10311,CUST1138,2026-09-14 14:35:34.874769,6,32.41,194.45999999999998
INV10312,CUST1032,2026-09-17 14:35:34.874771,6,40.52,243.12
INV10313,CUST1133,2026-03-05 14:35:34.874773,5,23.85,119.25
INV10314,CUST1110,2026-06-02 14:35:34.874775,9,10.78,97.02
INV10315,CUST1078,2026-07-09 14:35:34.874777,8,4.24,33.92
INV10316,CUST1159,2026-08-18 14:35:34.874779,7,9.95,69.64999999999999
INV10317,CUST1178,2026-09-07 14:35:34.874780,7,13.63,95.41000000000001
INV10318,CUST1057,2026-09-08 14:35:34.874782,6,3.99,23.94
INV10319,CUST1025,2026-09-01 14:35:34.874784,5,9.48,47.400000000000006
INV10320,CUST1173,2026-08-02 14:35:34.874788,4,36.69,146.76
INV10321,CUST1028,2026-07-05 14:35:34.874790,3,69.86,209.57999999999998
INV10322,CUST1003,2026-07-16 14:35:34.874792,3,323.61,970.83
INV10323,CUST1098,2026-08-30 14:35:34.874793,6,69.29,415.74
INV10324,CUST1140,2026-03-17 14:35:34.874795,4,41.08,164.32
INV10325,CUST1038,2026-06-30 14:35:34.874797,6,15.34,92.03999999999999
INV10326,CUST1014,2026-08-01 14:35:34.874799,3,53.89,161.67000000000002
INV10327,CUST1118,2026-07-24 14:35:34.874801,4,60.26,241.04
INV10328,CUST1028,2026-08-17 14:35:34.874803,9,3.21,28.89
INV10329,CUST1156,2026-09-01 14:35:34.874804,5,17.82,89.1
INV10330,CUST1074,2026-08-23 14:35:34.874806,7,40.67,284.69
INV10331,CUST1115,2026-06-25 14:35:34.874808,2,41.32,82.64
INV10332,CUST1031,2026-09-18 14:35:34.874810,5,27.45,137.25
INV10333,CUST1129,2026-09-11 14:35:34.874811,9,15.88,142.92000000000002
INV10334,CUST1174,2026-09-16 14:35:34.874813,3,13.53,40.589999999999996
INV10335,CUST1083,2026-09-16 14:35:34.874815,9,8.61,77.49
INV10336,CUST1021,2026-05-25 14:35:34.874817,6,11.85,71.1
INV10337,CUST1026,2026-07-08 14:35:34.874818,4,3.5,14.0
INV10338,CUST1194,2026-08-11 14:35:34.874820,7,1.95,13.65
INV10339,CUST1080,2026-09-12 14:35:34.874822,8,34.66,277.28
INV10340,CUST1125,2026-08-09 14:35:34.874824,6,9.64,57.84
INV10341,CUST1183,2026-08-11 14:35:34.874826,5,23.9,119.5
INV10342,CUST1091,2026-09-07 14:35:34.874827,6,10.54,63.239999999999995
INV10343,CUST1020,2026-08-15 14:35:34.874829,5,86.74,433.7
INV10344,CUST1046,2026-08-19 14:35:34.874831,8,6.88,55.04
INV10345,CUST1100,2026-07-23 14:35:34.874833,1,94.23,94.23
INV10346,CUST1186,2026-07-20 14:35:34.874834,7,45.6,319.2
INV10347,CUST1083,2026-09-16 14:35:34.874836,2,143.36,286.72
INV10348,CUST1005,2026-08-21 14:35:34.874838,9,4.54,40.86
INV10349,CUST1146,2026-07-22 14:35:34.874840,1,253.41,253.41
INV10350,CUST1184,2026-08-08 14:35:34.874841,6,16.99,101.94
INV10351,CUST1196,2026-05-25 14:35:34.874843,9,12.11,108.99
INV10352,CUST1130,2026-07-16 14:35:34.874845,1,31.49,31.49
INV10353,CUST1000,2026-09-08 14:35:34.874848,4,5.65,22.6
INV10354,CUST1057,2026-09-14 14:35:34.874850,4,51.31,205.24
INV10355,CUST1123,2026-07-19 14:35:34.874851,9,12.55,112.95
INV10356,CUST1165,2026-09-17 14:35:34.874853,5,19.23,96.15
INV10357,CUST1014,2026-07-28 14:35:34.874855,5,41.23,206.14999999999998
INV10358,CUST1161,2026-04-02 14:35:34.874857,6,37.93,227.57999999999998
INV10359,CUST1188,2026-07-29 14:35:34.874858,1,35.96,35.96
INV10360,CUST1162,2026-08-20 14:35:34.874860,1,151.33,151.33
INV10361,CUST1063,2026-07-19 14:35:34.874862,9,3.54,31.86
INV10362,CUST1024,2026-08-13 14:35:34.874864,3,72.92,218.76
INV10363,CUST1023,2026-08-02 14:35:34.874865,4,42.62,170.48
INV10364,CUST1011,2026-04-01 14:35:34.874867,1,480.64,480.64
INV10365,CUST1017,2026-08-20 14:35:34.874869,9,2.3,20.7
INV10366,CUST1014,2026-03-08 14:35:34.874871,8,2.35,18.8
INV10367,CUST1026,2026-04-30 14:35:34.874873,2,29.87,59.74
INV10368,CUST1071,2026-09-05 14:35:34.874874,8,6.94,55.52
